Estados [estado_id=1, description=Aguascalientes, shipping_zone_id=CT]
Estados [estado_id=2, description=Baja California, shipping_zone_id=NW]
Estados [estado_id=3, description=Baja California Sur, shipping_zone_id=NW]
Estados [estado_id=4, description=Campeche, shipping_zone_id=SE]
Estados [estado_id=5, description=Coahuila de Zaragoza, shipping_zone_id=NT]
Estados [estado_id=6, description=Colima, shipping_zone_id=EA]
Estados [estado_id=7, description=Chiapas, shipping_zone_id=ST]
Estados [estado_id=8, description=Chihuahua, shipping_zone_id=NT]
Estados [estado_id=9, description=Distrito Federal, shipping_zone_id=CT]
Estados [estado_id=10, description=Durango, shipping_zone_id=NT]
Estados [estado_id=11, description=Guanajuato, shipping_zone_id=CT]
Estados [estado_id=12, description=Guerrero, shipping_zone_id=SW]
Estados [estado_id=13, description=Hidalgo, shipping_zone_id=CT]
Estados [estado_id=14, description=Jalisco, shipping_zone_id=WT]
Estados [estado_id=15, description=MÚxico, shipping_zone_id=CT]
Estados [estado_id=16, description=Michoacßn de Ocampo, shipping_zone_id=WT]
Estados [estado_id=17, description=Morelos, shipping_zone_id=CT]
Estados [estado_id=18, description=Nayarit, shipping_zone_id=WT]
Estados [estado_id=19, description=Nuevo Le¾n, shipping_zone_id=NE]
Estados [estado_id=20, description=Oaxaca, shipping_zone_id=ST]
Estados [estado_id=21, description=Puebla, shipping_zone_id=CT]
Estados [estado_id=22, description=QuerÚtaro, shipping_zone_id=CT]
Estados [estado_id=23, description=Quintana Roo, shipping_zone_id=SE]
Estados [estado_id=24, description=San Luis PotosÝ, shipping_zone_id=CT]
Estados [estado_id=25, description=Sinaloa, shipping_zone_id=WT]
Estados [estado_id=26, description=Sonora, shipping_zone_id=NW]
Estados [estado_id=27, description=Tabasco, shipping_zone_id=SE]
Estados [estado_id=28, description=Tamaulipas, shipping_zone_id=NE]
Estados [estado_id=29, description=Tlaxcala, shipping_zone_id=CT]
Estados [estado_id=30, description=Veracruz de Ignacio de la Llave, shipping_zone_id=EA]
Estados [estado_id=31, description=Yucatßn, shipping_zone_id=SE]
Estados [estado_id=32, description=Zacatecas, shipping_zone_id=CT]
